loan_id,monthly_reporting_period,scenario,target,predicted_probability
100743858187,82019,Base,next_6m_delinquency_flag,0.002325101349092
100743858187,92019,Base,next_6m_delinquency_flag,0.002325101349092
100743858187,102019,Base,next_6m_delinquency_flag,0.0023979781974062
100743858187,112019,Base,next_6m_delinquency_flag,0.0023979781974062
100743858187,122019,Base,next_6m_delinquency_flag,0.0023979781974062
100743858187,12020,Base,next_6m_delinquency_flag,0.0023979781974062
100743858187,22020,Base,next_6m_delinquency_flag,0.0023979781974062
100743858187,32020,Base,next_6m_delinquency_flag,0.0023979781974062
100743858187,42020,Base,next_6m_delinquency_flag,0.0023979781974062
100743858187,52020,Base,next_6m_delinquency_flag,0.0023797998818164
100743858187,62020,Base,next_6m_delinquency_flag,0.0023797998818164
100743858187,72020,Base,next_6m_delinquency_flag,0.0023797998818164
100743858187,82020,Base,next_6m_delinquency_flag,0.002334006553345
100743858187,92020,Base,next_6m_delinquency_flag,0.002334006553345
100743858187,102020,Base,next_6m_delinquency_flag,0.002334006553345
100743858187,112020,Base,next_6m_delinquency_flag,0.002334006553345
100743858187,122020,Base,next_6m_delinquency_flag,0.002334006553345
100743858187,12021,Base,next_6m_delinquency_flag,0.002334006553345
100743858187,22021,Base,next_6m_delinquency_flag,0.002334006553345
100743858187,32021,Base,next_6m_delinquency_flag,0.002334006553345
100743858187,42021,Base,next_6m_delinquency_flag,0.002334006553345
100743858187,52021,Base,next_6m_delinquency_flag,0.002334006553345
100743858187,62021,Base,next_6m_delinquency_flag,0.002334006553345
100743858187,72021,Base,next_6m_delinquency_flag,0.002334006553345
100743858187,82021,Base,next_6m_delinquency_flag,0.002334006553345
100743858187,92021,Base,next_6m_delinquency_flag,0.002334006553345
100743858187,102021,Base,next_6m_delinquency_flag,0.002334006553345
100743858187,112021,Base,next_6m_delinquency_flag,0.002334006553345
100743858187,122021,Base,next_6m_delinquency_flag,0.002334006553345
100743858187,12022,Base,next_6m_delinquency_flag,0.002334006553345
100743858187,22022,Base,next_6m_delinquency_flag,0.002334006553345
100743858187,32022,Base,next_6m_delinquency_flag,0.002334006553345
100743858187,42022,Base,next_6m_delinquency_flag,0.002334006553345
100743858187,52022,Base,next_6m_delinquency_flag,0.002334006553345
100743858187,62022,Base,next_6m_delinquency_flag,0.002334006553345
100743858187,72022,Base,next_6m_delinquency_flag,0.002334006553345
100743858187,82022,Base,next_6m_delinquency_flag,0.002334006553345
100743858187,92022,Base,next_6m_delinquency_flag,0.002334006553345
100743858187,102022,Base,next_6m_delinquency_flag,0.002334006553345
100743858187,112022,Base,next_6m_delinquency_flag,0.0017836719844345
