loan_id,channel,seller_name,original_interest_rate,original_upb,original_loan_term,origination_date,first_payment_date,maturity_date,original_ltv,original_cltv,number_of_borrowers,dti_ratio,borrower_credit_score,co_borrower_credit_score,first_time_homebuyer_flag,loan_purpose,property_type,number_of_units,occupancy_status,property_state,msa,zip_code_short,mi_percentage,product_type,special_eligibility_program,relocation_mortgage_flag
100156916838,C,"Bank Of America, N.A.",4.5,417000.0,360,112009,12010,122039,66.0,80.0,1.0,35.0,810.0,,Y,P,PU,1,P,NM,42140,875,,FRM,N,N
100743858187,C,Other,5.375,131000.0,360,82009,102009,92039,61.0,61.0,2.0,19.0,815.0,809.0,N,C,SF,1,P,WI,0,535,,FRM,N,N
